Dates,Conservative,Labour,Liberal Democrat,Reform UK,Green
2019-12-31,0.408728046833422,0.39595529536987776,0.11442256519425226,0.036189462480042574,0.04470463012240553
2020-03-31,0.5183365624135069,0.3189177968447274,0.09438140049820096,0.024218101300858018,0.0441461389427069
2020-06-30,0.4918984280532044,0.3709794437726724,0.07569528415961306,0.02128174123337364,0.04014510278113664
2020-09-30,0.4515332402989764,0.40243448018879646,0.07474409463201503,0.02613486085031454,0.04515332402989764
2020-12-31,0.42640694876217433,0.4179482147836775,0.07526104334713861,0.03201718599919442,0.0483666071078153
2021-03-31,0.4473116513768317,0.397485948031978,0.07632476654698546,0.026625960124508276,0.052251673919696644
2021-06-30,0.46492852535425216,0.3637195946648911,0.08439626292681913,0.02569758005784557,0.06125803699619219
2021-09-30,0.4342454430765215,0.36816461478226825,0.09941022565549472,0.03306216557184496,0.06511755091387057
2021-12-31,0.3913411596137878,0.3978377322239771,0.10069687545793513,0.041600859696826614,0.0685233730074735
2022-03-31,0.3636043482054926,0.42804829400251815,0.10949362354613111,0.037616714661480734,0.061237019584377377
2022-06-30,0.36028212078777994,0.4253394827785557,0.12024820462750035,0.03462274695204204,0.059507444854121974
2022-09-30,0.33246348199565245,0.454676719837861,0.1197979564619278,0.03364591974965083,0.05941592195490774
2022-12-31,0.2705783728688187,0.5265223512517364,0.09896640875357571,0.05268382014924393,0.0512490469766252
2023-03-31,0.28487271197138647,0.5016831474857986,0.09583420997264885,0.062276456974542385,0.055333473595623815
2023-06-30,0.2970505617977528,0.47530430711610483,0.11235955056179774,0.0594569288389513,0.055828651685393256
2023-09-30,0.280349720510248,0.479145764655296,0.11466246237637955,0.06707754049018204,0.05876451196789451
2023-12-31,0.27444088003094214,0.4692512456487611,0.11415603030509862,0.08124587627693217,0.06090596773826587
2024-03-31,0.25615295236083235,0.4646667370867223,0.10341185169536282,0.1134467096229006,0.0623217492341819
2024-05-31,0.2673611111111111,0.4513888888888889,0.11458333333333333,0.10416666666666667,0.0625
